domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
zomato.com,ok,529.03,1066.24,2140.29,2,100.73,0.1,
nykaa.com,ok,483.22,974.34,1955.39,2,100.69,0.1,
meesho.com,ok,461.59,930.95,1868.09,2,100.66,0.1,
ajio.com,ok,573.48,1155.41,2319.7,2,100.77,0.1,
myntra.com,ok,298.48,603.75,1209.74,2,100.37,0.1,
flipkart.com,ok,326.35,659.66,1322.23,2,100.44,0.1,
amazon.in,ok,266.21,539.02,1079.49,2,100.27,0.1,
google.com,ok,133.29,272.38,542.99,2,99.35,0.1,
makemytrip.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
irctc.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
akasaair.in,ok,320.01,646.94,1296.64,2,100.43,0.1,
goindigo.in,ok,209.24,424.74,849.54,2,100.01,0.1,
airindia.in,ok,179.87,365.82,731.0,2,99.83,0.1,
caratlane.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
bluestone.in,ok,8.93,23.26,43.14,2,85.47,0.1,
joyalukkas.in,ok,181.41,368.91,737.21,2,99.83,0.1,
malabargold.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
tanishq.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
titan.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
pidilite.in,failed,,,,,,0.1,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
nerolac.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
bergerpaints.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
asianpaints.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
patanjaliayurved.in,failed,,,,,,0.1,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'patanjaliayurved.in'. (_ssl.c:1000)"
godrejcp.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
emamiltd.in,ok,457.47,922.69,1851.46,2,100.66,0.1,
marico.in,ok,177.78,361.63,722.56,2,99.81,0.1,
dabur.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
hul.in,ok,286.99,580.7,1163.36,2,100.34,0.1,
itcportal.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
britannia.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
amul.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
glaxosmithkline.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
pfizerindia.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
abbottindia.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
bioconbiologics.in,ok,130.78,267.35,532.86,2,99.31,0.1,
netmeds.in,failed,,,,,,0.1,[WinError 10054] An existing connection was forcibly closed by the remote host
1mg.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
thyrocare.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
metropolisindia.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
lalpathlabs.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
medanta.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
asterdmhealthcare.in,ok,131.0,267.79,533.75,2,99.32,0.1,
maxhealthcare.in,ok,35.91,77.22,151.06,2,95.62,0.1,
fortishealthcare.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
apollohospitals.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
zyduslife.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
torrentpharma.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
mankindpharma.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
glenmarkpharma.in,ok,405.62,818.68,1642.18,2,100.59,0.1,
biocon.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
aurobindo.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
lupin.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
sunpharma.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
cipla.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
drreddys.in,ok,61.33,128.06,252.74,2,97.36,0.1,
dalmiacement.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
shreecement.in,ok,195.13,396.43,792.59,2,99.93,0.1,
acclimited.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
ambujacement.in,ok,312.18,631.24,1265.03,2,100.4,0.1,
ultratechcement.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
adaniports.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
adanipower.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
powergrid.in,ok,114.55,234.79,467.35,2,99.05,0.1,
ntpc.in,ok,754.43,1518.39,3050.06,2,100.87,0.1,
hindustanpetroleum.in,failed,,,,,,0.1,[WinError 10054] An existing connection was forcibly closed by the remote host
bharatpetroleum.in,ok,159.17,324.3,647.45,2,99.65,0.1,
iocl.in,failed,,,,,,0.1,[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1000)
